start,end,speakerId,content,speakerIndex,duration,primaryType_Noise,primaryType_PII,primaryType_Speech,sentiment_score
0.41,0.98,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,martin!,1,0.5700000000000001,False,False,True,0.0
0.98,2.8,unknown,unknown,nan,1.8199999999999998,True,False,False,0.0
2.8,7.64,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_2,"hi, #[overlap_start] this is #[overlap_end] from #[keyboard-noise] reservations department. yes, hello! can you hear me?",2,4.84,False,False,True,0.4574
3.2,3.72,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,#[overlap_start] hello? #[overlap_end],1,0.52,False,False,True,0.0
8.63,10.03,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"i'm here. yes, i hear you.",1,1.3999999999999986,False,False,True,0.4019
11.07,11.38,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_2,"hi, this",2,0.3100000000000005,False,False,True,0.0
11.38,14.53,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_2,#[pii-work],2,3.1499999999999986,False,True,False,0.0
15.24,17.24,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_2,#[overlap_start] i'm calling #[overlap_end] regarding the reservation,2,1.9999999999999982,False,False,True,0.0
15.54,15.93,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,#[overlap_start] hi #[overlap_end],1,0.39000000000000057,False,False,True,0.0
17.24,21.37,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_2,"two one #[overlap_start] nine six three nine (()) may i'm speaking to christian, right? #[overlap_end]",2,4.130000000000003,False,False,True,0.0
17.68,26.55,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"#[overlap_start] wait, wait, wait. yeah, yeah, hold hold hold on one #[overlap_end] #[keyboard-noise] hold on one second before (()). hi, #[noise] okay. #er yeah, i'm sorry, go ahead.",1,8.870000000000001,False,False,True,0.7351
26.55,27.85,unknown,unknown,nan,1.3000000000000007,True,False,False,0.0
27.85,33.65,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_2,"no problem. before we proceed, i just want to inform you that the call is being recorded for quality assurance and training purposes.",2,5.799999999999997,False,False,True,-0.296
33.65,34.93,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"sure, #[breath] okay.",1,1.2800000000000011,False,False,True,0.4939
35.6,43.15,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_2,"i understand #um martin, that you are looking for assistance with confirming a reservation?",2,7.549999999999997,False,False,True,0.0
44.28,57.41,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"no, we're no, we're not, we're not looking for that anymore, because i made very clear that when we receive that, we realized that we got to, we got to the reservation is almost over two hou~ more than two hours ago.",1,13.129999999999995,False,False,True,-0.1298
58.21,62.04,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"and i got there and they said that we, they didn't have the reservation in my name,",1,3.8299999999999983,False,False,True,0.0
62.62,73.71000000000001,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"and i said, well, we were supposed to get there last night and they didn't have it last night and he said, this isn't the right reservation number for (()) and maybe they made the reservation somewhere else.",1,11.09000000000001,False,False,True,0.34
74.48,79.13,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"and i said, well, no, they shouldn't have because clearly, i made a reservation to (()).",1,4.6499999999999915,False,False,True,-0.3309
79.77,84.71000000000001,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"and so, did she contacted you guys? and she was on chat with somebody,",1,4.940000000000012,False,False,True,0.0
85.03,96.56,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"(()) with somebody. but when i when i called the number, i called your number, i kept getting directed to a number that would say, put the right pin code in and when i did it hung up on me.",1,11.530000000000001,False,False,True,0.3291
96.56,102.63,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,and that happened to her and happened to be three times in a row. so i was never able to get from the person to talk to you.,1,6.069999999999993,False,False,True,0.0
103.14,108.46000000000001,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"and so what i did was, i just said the heck with this and i and i just rented the car from (()) directly.",1,5.320000000000007,False,False,True,0.0
109.08,112.78,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"so that's ((so)), i wanna i wanna i would like to get a refund because",1,3.700000000000003,False,False,True,0.3612
113.5,125.21,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"it was it was it was handled #[keyboard-noise] improperly by you guys. and the most important, the most upsetting is i'm supposed to be selling and promoting your services. i'm not i'm not just a customer.",1,11.709999999999994,False,False,True,0.0516
125.57,127.42,en_US_7fb28717-51b7-4d73-8a73-f9f9f8833720_1,"i'm an i'm a distributor, i'm an consultant.",1,1.8500000000000085,False,False,True,0.0
